,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR013126,17.210,BRANCO GEADA,30/04/26,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO,FATURADO,PATIO 2,AGENDADO,,,24/06/2026,1046609,WALERIA,PAGO,NÃO,383766,NÃO TEM,,,,,NF. 726203 - 11/05/2026,
VR009698,17.210,BRANCO GEADA,22/04/26,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO,ESTOQUE,PATIO 2,AGENDADO,,,29/06/26,1047056,WALERIA,,,,NÃO TEM,,,,,PRANCHA GABARDO 29/04/26,
TR002546,26.320,,23/06/25,CONSORCIO CUIDANDO DE GOIANIA,FATURADO,IMPLEMENTADOR,REVISÃO 1 ANO,,,29/01/2026,1021813,PAULO,,,365078,NÃO TEM,,,,,SOLIVAC - 04/02/26 - PRANCHA GABARDO,
TR024329,26.320,,14/10/25,CONSORCIO CUIDANDO DE GOIANIA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,29/01/2026,1021819,PAULO,,,,NÃO TEM,,,,,SOLIVAC - 04/02/26 - PRANCHA GABARDO,
TR028280,26.320,,14/10/25,CONSORCIO CUIDANDO DE GOIANIA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,29/01/2026,1021814,PAULO,,,,NÃO TEM,,,,,SOLIVAC - 04/02/26 - PRANCHA GABARDO,
TR023650,26.320,,14/10/25,CONSORCIO CUIDANDO DE GOIANIA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,29/01/2026,1021809,PAULO,,,376512,NÃO TEM,,,,,SOLIVAC - 04/02/26 - PRANCHA GABARDO,
VR009703,17.210,,02/04/26,CONSORCIO MINEIRO,FATURADO,JRV,,,,31/03/2026,1040465,GUSTAVO,PAGO,,,NÃO TEM,,,,,JRV,
TR001195,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677884,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001390,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677891,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001024,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677887,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001235,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677886,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR000988,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677885,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001386,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677890,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001612,27.260,,20/02/25,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,REVISÃO 1 ANO,,,06/02/2026,677890,RUI,,,,NÃO TEM,,,,,CLIENTE,
TR001775,27.260,,23/04/26,CONSTRUTORA CENTRO LESTE S/A,VENDA DIRETA,IMPLEMENTADOR,,,,06/02/2026,677888,RUI,,,,NÃO TEM,,,,,CLIENTE,
VR203255,29.530,BRANCO GEADA,23/03/26,CONSTRUTORA PERFIL LTDA,FATURADO,PATIO 1,AGENDADO,,,29/06/26,1047513,RUI,PAGO,OK,383767,NÃO TEM,"R$ 2.000,00","TAPETE, CHINIL, SOPRADOR, INSULFILME E CALHA DE CHUVA",,,NF. 720599,
TR202161,28.480,BRANCO GEADA,03/12/25,COOPERATIVA AGROPEC MISTA DE PIRACANJUBA - COAPIL,FATURADO,ANS,REVISAO DE 6 MESES,,,24/04/26,1046579,LUIZ CLAUDIO,NÃO,SIM,,NÃO TEM,"R$ 3.000,00",,,,NF. 709287 - VIAGEM - 62930 - GO - 05/12,
TR025026,33.260,,14/10/25,COOPERMIX CONCRETOS LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,31/03/2026,1032247,ENEIAS,PAGO,,,NÃO TEM,,,,,PRANCHA GABARDO LEVOU - 29/04/2026,
TR028140,33.260,,29/10/26,COOPERMIX CONCRETOS LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,31/03/2026,1032250,ENEIAS,PAGO,,,NÃO TEM,,,,,PRANCHA GABARDO LEVOU - 29/04/2026,
TR019683,30.320,,01/10/25,CRISTAL ALIMENTOS LTDA,FATURADO,JRV,REVISAO DE 6 MESES,,,25/05/2026,1041212,LUIZ CARLOS,PAGO,,,NÃO TEM,,,,,,
VR000084,17.210,,03/02/26,DUO GELATTO INDUSTRIA DE SORVETES LTDA - Ñ PG,FATURADO,ANS,,,,29/05/2026,1042170,DOUGLAS,NÃO,,,NÃO TEM,,,,,,
VR010697,EXPRESS,,04/05/26,E M TRANSFORMADORES E MOTORES ELETRICOS LTDA,FATURADO,PATIO 2,AGENDADO,,,29/05/2026,1042154,LAILA,PAGO,NÃO,382654,NÃO TEM,,,,,VAI P/JRV,
VR019426,20.480,AZUL NOTURNO,19/06/26,ECOPLAST INDUSTRIA E COMERCIO DE PVC LTDA,FATURADO,ITUMBIARA,,,,24/06/26,1046569,MARIANA,PAGO,,,NÃO TEM,,NF. 731719,,,,
TR028921,9.180,VERMELHO RUBI,31/10/25,ESTEVES & PIRES LTDA,FATURADO,JRV,REVISAO DE 6 MESES,JRV - 26/06/26,,22/06/2026,1046146,JORGE,PAGO,SIM,,NÃO TEM,"R$ 10.000,00","383594 - DEFLETOR, VINIL, MOEDA, INSULFILME, CALHA DE CHUVA, MANGUEIRA DE SOPRAR E CHINIL",,,NF. 707213 - DESTINO: ANÁPOLIS - 07/11 - VIAGEM - 62762 - GO - 11/11,
TR003306,20.480,BRANCO,05/03/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,REALIZADA,,,,,,
TR016518,26.260,BRANCO,23/06/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,FROTA 3484 - 24/06/2025 GOIANIA,
TR022148,9.180,BRANCO,04/08/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,,
TR027394,32.380,BRANCO GEADA,22/09/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,TEM,,,,,,
TR028158,33.260,BRANCO GEADA,30/09/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,PARA ESVAZIAR O PATIO - 06/02/26,
TR024329,26.260,CINZA ESCURO,13/10/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,,
TR202279,28.480,BRANCO GEADA,27/11/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,PARA ADESIVAR BRASIL - COLOCAR,
TR023274,20.480,BRANCO GEADA,05/12/25,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 710134 - VIAGEM - 63032 - RIO VERDE - 16/12,
VR000476,9.180,BRANCO GEADA,09/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,VIAGEM - 63195 - GO - 18/01/26,
VR000337,14.210,BRANCO,09/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 713701 - VIAGEM - 63195 - GO - 18/01/26,
VR000193,14.210,BRANCO,09/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,,
VR000395,9.180,AZUL NOTURNO,09/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,VIAGEM - 63215 - ANS - 20/01/26,
VR000666,9.180,AZUL AMBEV,12/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,VIAGEM - 63211 - GO - 20/01/26,
VR000091,14.210,BRANCO,12/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,VIAGEM - 63211 - GO - 20/01/26,
VR000686,9.180,AZUL AMBEV,12/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,SUPER FRANGO - LAVADO,
VR000085,11.180,BRANCO,15/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 713999 - REMESSA 11/05/2026,
VR001857,26.320,BRANCO GEADA,22/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 714494 - VIAGEM - 63399 - RIO VERDE - 13/02,
VR002799,11.180,PRATA TUNGSTEN,30/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 715808,
VR003003,9.180,AZUL PARAGAS,30/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 716082 - VIAGEM 63468 GO 22/02,
VR003457,9.180,BRANCO GEADA,30/01/26,ESTOQUE BELCAR,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 715807,
VR004420,18.260,BRANCO GEADA,16/02/26,ESTOQUE BELCAR,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,NF. 716123,
