,,ESTOQUE ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,DT FATUR.,CLIENTE,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLICITADA,DATA ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,OS,RECALL,ACESSÓRIOS,TIPO,,OBS,OBS:
VR004000,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720568 - ERECHIM - RS - 01/04,
VR004540,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720567 - ERECHIM - RS - 01/04,
VR004545,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720569 - ERECHIM - RS - 01/04,
VR010356,11.180,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721560 - 63940 - ERECHIM RS - 24/04,
VR008677,26.260,BRANCO,27/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63808 - SÃO JOSE DO RIO PRETO - 02/04/26,
VR008756,26.260,BRANCO,30/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63820 - SÃO JOSE DO RIO PRETO - 05/04/26,
VR008761,26.260,BRANCO,30/03/26,ESTOQUE BELCAR ,IMPLEMENTADOR,,,,,,,,,,,,,63820 - SÃO JOSE DO RIO PRETO - 05/04/26,
VR003662,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718068 - SERVICARGA - SBC - 09/03/26,
VR003665,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718064 - SERVICARGA - SBC - 09/03/26,
VR003959,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718067 - SERVICARGA - SBC - 09/03/26,
VR003659,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718066 - SERVICARGA - SBC - 09/03/26,
VR003702,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718065 - SERVICARGA - SBC - 09/03/26,
VR003923,17.230 OD,SEM COR,27/02/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 718063 - SERVICARGA - SBC - 09/03/26,
VR005275,26.260,BRANCO,15/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,TRUCKVAN GUARULHOS - 09/03/26,
VR004485,26.260,BRANCO,15/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,TRUCKVAN GUARULHOS - 09/03/26,
VR002754,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
VR002295,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
VR001925,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,SERVICARGA - SÃO BERNARDO VIAGEM 63505 - 23/02/26,
TR027739,30.320,VERMELHO,,ROBOCONTROL,IMPLEMENTADOR,,,,,,,,,,,,,ROBOCONTROL - 28/01/2026 VENDEDOR PAULO,
VR001503,26.260,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 714428 - FACCHINI SÃO JOSE DO RIO PRETO,
TR024777,17.230 OD,SEM COR,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 704069 - SERVICARGA - SÃO BERNARDO DO CAMPO,
TR019291,31.320,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,GRIMALDI IND - SANTO ANTONIO DE POSSE/SP - 28/07 - prancha GABARDO,
VR000756,17.210,BRANCO,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,EMAQ IND - APARECIDA DE GOIANIA GP - PRANCHA GABARDO,
TR007874,11.180,BRANCO GEADA,,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,BMB - JULIANA E-MAIL 26/06/2025,
TR018840,26.320,PRATA,,ROBOCONTROL,IMPLEMENTADOR,,,,,,,,,,,,,,
VR010791,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MARCOPOLLO CAIAS DO SUL RS - 23/04/26,
VR010652,11.180 OD,,02/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,COMIL - MASCARELLO CASCAVEL PR - 22/04/26,
